game_id,ply,side_to_move,score_ai,winner,predicted_winner
6,1,ai,1.0,player,ai
6,2,player,1.0,player,ai
6,3,ai,1.0,player,ai
6,4,player,1.0,player,ai
6,5,ai,1.0,player,ai
6,6,player,1.0,player,ai
6,7,ai,1.0,player,ai
6,8,player,1.0,player,ai
6,9,ai,1.0,player,ai
6,10,player,1.0,player,ai
6,11,ai,1.0,player,ai
6,12,player,1.0,player,ai
6,13,ai,1.0,player,ai
6,14,player,1.0,player,ai
6,15,ai,1.0,player,ai
6,16,player,1.0,player,ai
6,18,ai,1.0,player,ai
6,19,player,1.0,player,ai
6,20,ai,1.0,player,ai
6,21,player,1.0,player,ai
6,22,ai,1.0,player,ai
6,23,player,1.0,player,ai
6,24,ai,1.0,player,ai
6,25,player,1.0,player,ai
6,26,ai,1.0,player,ai
6,27,player,1.0,player,ai
6,28,ai,1.0,player,ai
6,29,player,1.0,player,ai
6,30,ai,1.0,player,ai
6,31,player,1.0,player,ai
6,32,ai,1.0,player,ai
6,33,player,1.0,player,ai
6,34,ai,1.0,player,ai
6,35,player,1.0,player,ai
6,36,ai,1.0,player,ai
6,37,player,1.0,player,ai
6,38,ai,1.0,player,ai
6,40,player,1.0,player,ai
6,41,ai,1.0,player,ai
6,42,player,1.0,player,ai
6,44,ai,1.0,player,ai
6,45,player,1.0,player,ai
6,46,ai,1.0,player,ai
6,47,player,1.0,player,ai
6,48,ai,1.0,player,ai
6,49,player,1.0,player,ai
6,50,ai,1.0,player,ai
6,51,player,1.0,player,ai
6,52,ai,1.0,player,ai
6,53,player,1.0,player,ai
6,54,ai,1.0,player,ai
6,55,player,1.0,player,ai
6,56,ai,1.0,player,ai
6,57,player,1.0,player,ai
6,58,ai,1.0,player,ai
6,59,player,1.0,player,ai
6,60,ai,1.0,player,ai
6,61,player,1.0,player,ai
6,62,ai,1.0,player,ai
6,63,player,1.0,player,ai
6,64,ai,1.0,player,ai
6,65,player,1.0,player,ai
6,66,ai,1.0,player,ai
6,67,player,1.0,player,ai
6,68,ai,0.9999999403953552,player,ai
6,70,player,0.9999997615814209,player,ai
6,71,ai,0.9999999403953552,player,ai
6,72,player,1.0,player,ai
6,73,ai,1.0,player,ai
6,74,player,1.0,player,ai
6,75,ai,1.0,player,ai
6,76,player,1.0,player,ai
6,77,ai,1.0,player,ai
6,78,player,1.0,player,ai
6,79,ai,0.9999998807907104,player,ai
6,80,player,1.0,player,ai
6,81,ai,1.0,player,ai
6,82,player,1.0,player,ai
6,83,ai,0.9999992847442627,player,ai
6,84,player,1.0,player,ai
6,85,ai,1.0,player,ai
6,86,player,1.0,player,ai
6,87,ai,1.0,player,ai
6,88,player,1.0,player,ai
6,89,ai,0.9999998211860657,player,ai
6,90,player,1.0,player,ai
7,0,player,1.0,player,ai
7,1,ai,1.0,player,ai
7,2,player,1.0,player,ai
7,3,ai,1.0,player,ai
7,4,player,1.0,player,ai
7,5,ai,1.0,player,ai
7,6,player,1.0,player,ai
7,7,ai,1.0,player,ai
7,8,player,1.0,player,ai
7,10,ai,1.0,player,ai
7,11,player,1.0,player,ai
7,12,ai,1.0,player,ai
7,13,player,1.0,player,ai
7,14,ai,1.0,player,ai
7,15,player,1.0,player,ai
7,16,ai,1.0,player,ai
7,17,player,1.0,player,ai
7,19,ai,1.0,player,ai
7,20,player,1.0,player,ai
7,21,ai,1.0,player,ai
7,22,player,1.0,player,ai
7,23,ai,1.0,player,ai
7,25,player,1.0,player,ai
7,27,ai,1.0,player,ai
7,29,player,1.0,player,ai
7,30,ai,1.0,player,ai
7,31,player,1.0,player,ai
7,32,ai,1.0,player,ai
7,33,player,1.0,player,ai
7,34,ai,1.0,player,ai
7,35,player,1.0,player,ai
7,36,ai,1.0,player,ai
7,37,player,1.0,player,ai
7,38,ai,1.0,player,ai
7,39,player,1.0,player,ai
